dataset,episode_id,split,mode,duration_sec,task_success,task_progress,mean_l2,source
DROID,1719,L2,original,10.533333333333333,0.0,0.4,0.22703129350700232,droid_3way_selected150.json
DROID,1719,L2,llm_dual,10.533333333333333,0.0,0.4,0.17574325551142414,droid_3way_selected150.json
DROID,1719,L2,llm_val,10.533333333333333,0.0,0.4,0.14550989985056847,droid_3way_selected150.json
DROID,1310,L3,original,16.733333333333334,1.0,0.7,0.2501469637739795,droid_3way_selected150.json
DROID,1310,L3,llm_dual,16.733333333333334,1.0,0.9,0.2576730342096085,droid_3way_selected150.json
DROID,1310,L3,llm_val,16.733333333333334,1.0,0.7,0.17082165679389047,droid_3way_selected150.json
DROID,1530,L1,original,7.6,1.0,0.8,0.12201270001207472,droid_3way_selected150.json
DROID,1530,L1,llm_dual,7.6,1.0,0.9,0.14544369946247498,droid_3way_selected150.json
DROID,1530,L1,llm_val,7.6,1.0,0.9,0.14589861266925286,droid_3way_selected150.json
DROID,1245,L1,original,8.2,1.0,0.9,0.16461010823901598,droid_3way_selected150.json
DROID,1245,L1,llm_dual,8.2,0.0,0.4,0.07722033335144622,droid_3way_selected150.json
DROID,1245,L1,llm_val,8.2,1.0,0.9,0.08852650364478983,droid_3way_selected150.json
DROID,1989,L2,original,10.6,0.0,0.4,0.14263811560743497,droid_3way_selected150.json
DROID,1989,L2,llm_dual,10.6,0.0,0.3,0.07860073277340246,droid_3way_selected150.json
DROID,1989,L2,llm_val,10.6,0.0,0.4,0.07822154183313408,droid_3way_selected150.json
DROID,1788,L3,original,17.466666666666665,0.0,0.4,0.2661614876741471,droid_3way_selected150.json
DROID,1788,L3,llm_dual,17.466666666666665,0.0,0.4,0.20273285153559503,droid_3way_selected150.json
DROID,1788,L3,llm_val,17.466666666666665,0.0,0.4,0.2027363799516093,droid_3way_selected150.json
DROID,1400,L2,original,9.0,0.0,0.4,0.15742493013665704,droid_3way_selected150.json
DROID,1400,L2,llm_dual,9.0,0.0,0.3,0.08206962980311593,droid_3way_selected150.json
DROID,1400,L2,llm_val,9.0,0.0,0.4,0.09918518084122296,droid_3way_selected150.json
DROID,1571,L2,original,11.666666666666666,0.0,0.4,0.15399920775048612,droid_3way_selected150.json
DROID,1571,L2,llm_dual,11.666666666666666,0.0,0.4,0.09957798477033501,droid_3way_selected150.json
DROID,1571,L2,llm_val,11.666666666666666,0.0,0.4,0.09895740782154117,droid_3way_selected150.json
DROID,1340,L1,original,7.666666666666667,0.0,0.4,0.11728312894546274,droid_3way_selected150.json
DROID,1340,L1,llm_dual,7.666666666666667,1.0,0.4,0.07230677917045202,droid_3way_selected150.json
DROID,1340,L1,llm_val,7.666666666666667,0.0,0.4,0.07425879670730227,droid_3way_selected150.json
DROID,1749,L1,original,7.666666666666667,0.0,0.4,0.16516270952694112,droid_3way_selected150.json
DROID,1749,L1,llm_dual,7.666666666666667,0.0,0.4,0.12338883158150393,droid_3way_selected150.json
DROID,1749,L1,llm_val,7.666666666666667,0.0,0.4,0.12251638764800081,droid_3way_selected150.json
DROID,1356,L1,original,6.533333333333333,1.0,0.9,0.1234093444875373,droid_3way_selected150.json
DROID,1356,L1,llm_dual,6.533333333333333,1.0,0.9,0.07930095314240869,droid_3way_selected150.json
DROID,1356,L1,llm_val,6.533333333333333,1.0,0.9,0.0825054628595394,droid_3way_selected150.json
DROID,1714,L2,original,10.8,0.0,0.4,0.10116610791914926,droid_3way_selected150.json
DROID,1714,L2,llm_dual,10.8,0.0,0.4,0.0718434894051716,droid_3way_selected150.json
DROID,1714,L2,llm_val,10.8,0.0,0.4,0.060554035388757754,droid_3way_selected150.json
DROID,1041,L3,original,13.866666666666667,1.0,0.7,0.0852906787386735,droid_3way_selected150.json
DROID,1041,L3,llm_dual,13.866666666666667,0.0,0.4,0.05303812949498208,droid_3way_selected150.json
DROID,1041,L3,llm_val,13.866666666666667,1.0,0.7,0.05019234314039785,droid_3way_selected150.json
DROID,1249,L1,original,4.266666666666667,0.0,0.4,0.09345694221845889,droid_3way_selected150.json
DROID,1249,L1,llm_dual,4.266666666666667,0.0,0.4,0.07825326435661616,droid_3way_selected150.json
DROID,1249,L1,llm_val,4.266666666666667,0.0,0.4,0.060191864325605894,droid_3way_selected150.json
DROID,1877,L1,original,7.933333333333334,0.0,0.4,0.17020328994375586,droid_3way_selected150.json
DROID,1877,L1,llm_dual,7.933333333333334,0.0,0.4,0.13569407758636973,droid_3way_selected150.json
DROID,1877,L1,llm_val,7.933333333333334,0.0,0.4,0.1379463465206279,droid_3way_selected150.json
DROID,1023,L1,original,8.2,0.0,0.3,0.17875688986306368,droid_3way_selected150.json
DROID,1023,L1,llm_dual,8.2,0.0,0.3,0.1463552298192565,droid_3way_selected150.json
DROID,1023,L1,llm_val,8.2,0.0,0.3,0.14828292140753496,droid_3way_selected150.json
DROID,1324,L3,original,17.266666666666666,0.0,0.4,0.1170902403377192,droid_3way_selected150.json
DROID,1324,L3,llm_dual,17.266666666666666,1.0,0.7,0.09847818283434866,droid_3way_selected150.json
DROID,1324,L3,llm_val,17.266666666666666,0.0,0.4,0.08674160018387063,droid_3way_selected150.json
DROID,1730,L2,original,11.666666666666666,0.0,0.4,0.1860508371354795,droid_3way_selected150.json
DROID,1730,L2,llm_dual,11.666666666666666,0.0,0.3,0.1562008844130824,droid_3way_selected150.json
DROID,1730,L2,llm_val,11.666666666666666,0.0,0.4,0.15930801545172166,droid_3way_selected150.json
DROID,1232,L1,original,7.933333333333334,0.0,0.4,0.2029175192158377,droid_3way_selected150.json
DROID,1232,L1,llm_dual,7.933333333333334,0.0,0.3,0.15517260147753636,droid_3way_selected150.json
DROID,1232,L1,llm_val,7.933333333333334,0.0,0.4,0.1783479173029646,droid_3way_selected150.json
DROID,1937,L1,original,6.933333333333334,0.0,0.4,0.13545454012055771,droid_3way_selected150.json
DROID,1937,L1,llm_dual,6.933333333333334,1.0,0.8,0.09319338723134124,droid_3way_selected150.json
DROID,1937,L1,llm_val,6.933333333333334,0.0,0.4,0.11493569962779353,droid_3way_selected150.json
DROID,1588,L1,original,7.666666666666667,0.0,0.4,0.11163424063818299,droid_3way_selected150.json
DROID,1588,L1,llm_dual,7.666666666666667,0.0,0.4,0.07431049297134235,droid_3way_selected150.json
DROID,1588,L1,llm_val,7.666666666666667,0.0,0.4,0.09216083887846299,droid_3way_selected150.json
DROID,1218,L1,original,8.133333333333333,0.0,0.4,0.1487057363639821,droid_3way_selected150.json
DROID,1218,L1,llm_dual,8.133333333333333,0.0,0.4,0.08045849382599059,droid_3way_selected150.json
DROID,1218,L1,llm_val,8.133333333333333,0.0,0.4,0.13001665535970053,droid_3way_selected150.json
DROID,1759,L2,original,9.2,1.0,0.7,0.05581044455960995,droid_3way_selected150.json
DROID,1759,L2,llm_dual,9.2,1.0,0.7,0.04022176208803727,droid_3way_selected150.json
DROID,1759,L2,llm_val,9.2,1.0,0.7,0.037273101795363826,droid_3way_selected150.json
DROID,1133,L2,original,10.866666666666667,0.0,0.4,0.09573539271830193,droid_3way_selected150.json
DROID,1133,L2,llm_dual,10.866666666666667,0.0,0.4,0.09001353890525081,droid_3way_selected150.json
DROID,1133,L2,llm_val,10.866666666666667,0.0,0.4,0.07833745634420368,droid_3way_selected150.json
DROID,1390,L1,original,3.2,0.0,0.4,0.20511881525008868,droid_3way_selected150.json
DROID,1390,L1,llm_dual,3.2,0.0,0.3,0.1824484534220797,droid_3way_selected150.json
DROID,1390,L1,llm_val,3.2,0.0,0.4,0.18849473143926268,droid_3way_selected150.json
DROID,1651,L1,original,5.533333333333333,0.0,0.4,0.09670819726063007,droid_3way_selected150.json
DROID,1651,L1,llm_dual,5.533333333333333,1.0,0.7,0.1330575042744575,droid_3way_selected150.json
DROID,1651,L1,llm_val,5.533333333333333,0.0,0.4,0.08069778488390056,droid_3way_selected150.json
DROID,1824,L3,original,14.6,0.0,0.4,0.12153607891058027,droid_3way_selected150.json
DROID,1824,L3,llm_dual,14.6,0.0,0.3,0.09710820506383462,droid_3way_selected150.json
DROID,1824,L3,llm_val,14.6,0.0,0.4,0.1063655257753315,droid_3way_selected150.json
DROID,1817,L2,original,10.533333333333333,0.0,0.4,0.12843276016934424,droid_3way_selected150.json
DROID,1817,L2,llm_dual,10.533333333333333,0.0,0.4,0.11322370787514624,droid_3way_selected150.json
DROID,1817,L2,llm_val,10.533333333333333,0.0,0.4,0.11334861601519819,droid_3way_selected150.json
DROID,1858,L3,original,12.266666666666667,0.0,0.4,0.09206740847871177,droid_3way_selected150.json
DROID,1858,L3,llm_dual,12.266666666666667,0.0,0.4,0.07880696854577358,droid_3way_selected150.json
DROID,1858,L3,llm_val,12.266666666666667,0.0,0.4,0.07880696854577358,droid_3way_selected150.json
DROID,1512,L3,original,13.133333333333333,0.0,0.4,0.09892073083505075,droid_3way_selected150.json
DROID,1512,L3,llm_dual,13.133333333333333,0.0,0.4,0.06405170319805974,droid_3way_selected150.json
DROID,1512,L3,llm_val,13.133333333333333,0.0,0.4,0.08571572474603938,droid_3way_selected150.json
DROID,1710,L1,original,5.933333333333334,1.0,0.7,0.10551327383903801,droid_3way_selected150.json
DROID,1710,L1,llm_dual,5.933333333333334,1.0,0.7,0.09012446343574505,droid_3way_selected150.json
DROID,1710,L1,llm_val,5.933333333333334,1.0,0.7,0.09248940143592908,droid_3way_selected150.json
DROID,1236,L1,original,4.933333333333334,1.0,0.8,0.07458407949696932,droid_3way_selected150.json
DROID,1236,L1,llm_dual,4.933333333333334,1.0,0.7,0.06639050048963364,droid_3way_selected150.json
DROID,1236,L1,llm_val,4.933333333333334,1.0,0.8,0.06270956394935068,droid_3way_selected150.json
DROID,1641,L3,original,16.466666666666665,0.0,0.4,0.05741363732641654,droid_3way_selected150.json
DROID,1641,L3,llm_dual,16.466666666666665,0.0,0.4,0.05848052497224878,droid_3way_selected150.json
DROID,1641,L3,llm_val,16.466666666666665,0.0,0.4,0.047818671614290646,droid_3way_selected150.json
DROID,1376,L2,original,11.533333333333333,1.0,0.7,0.07795725927802039,droid_3way_selected150.json
DROID,1376,L2,llm_dual,11.533333333333333,0.0,0.4,0.0892727482249412,droid_3way_selected150.json
DROID,1376,L2,llm_val,11.533333333333333,1.0,0.7,0.0697612223008978,droid_3way_selected150.json
DROID,1043,L1,original,8.0,0.0,0.4,0.1483704569391958,droid_3way_selected150.json
DROID,1043,L1,llm_dual,8.0,0.0,0.3,0.16788768827985515,droid_3way_selected150.json
DROID,1043,L1,llm_val,8.0,0.0,0.4,0.14241757588898654,droid_3way_selected150.json
DROID,1945,L3,original,12.533333333333333,0.0,0.4,0.1135205930578211,droid_3way_selected150.json
DROID,1945,L3,llm_dual,12.533333333333333,0.0,0.4,0.11394572542294873,droid_3way_selected150.json
DROID,1945,L3,llm_val,12.533333333333333,0.0,0.4,0.10807482944132714,droid_3way_selected150.json
DROID,1613,L2,original,11.733333333333333,1.0,0.8,0.2478911959049359,droid_3way_selected150.json
DROID,1613,L2,llm_dual,11.733333333333333,1.0,0.8,0.26304212464061777,droid_3way_selected150.json
DROID,1613,L2,llm_val,11.733333333333333,1.0,0.8,0.24263662866889515,droid_3way_selected150.json
DROID,1885,L3,original,12.2,0.0,0.4,0.06923906866112735,droid_3way_selected150.json
DROID,1885,L3,llm_dual,12.2,0.0,0.4,0.06646327186979706,droid_3way_selected150.json
DROID,1885,L3,llm_val,12.2,0.0,0.4,0.06435056319135973,droid_3way_selected150.json
DROID,1891,L1,original,6.866666666666666,1.0,0.7,0.10202580794493227,droid_3way_selected150.json
DROID,1891,L1,llm_dual,6.866666666666666,1.0,0.7,0.094542014403259,droid_3way_selected150.json
DROID,1891,L1,llm_val,6.866666666666666,1.0,0.7,0.0976758260099922,droid_3way_selected150.json
DROID,1566,L2,original,8.866666666666667,0.0,0.4,0.16141266829450107,droid_3way_selected150.json
DROID,1566,L2,llm_dual,8.866666666666667,0.0,0.3,0.12594561268791063,droid_3way_selected150.json
DROID,1566,L2,llm_val,8.866666666666667,0.0,0.4,0.15785796241952688,droid_3way_selected150.json
